t,cam_center_x,face_x_asignada,distancia
26.0000,430.0,430.0,0.0
26.0333,430.0,430.0,0.0
26.0667,430.0,430.0,0.0
26.1000,430.0,430.0,0.0
26.1333,430.0,430.0,0.0
26.1667,430.0,430.0,0.0
26.2000,430.0,430.0,0.0
26.2333,430.0,430.0,0.0
26.2667,430.0,430.0,0.0
26.3000,430.0,430.0,0.0
26.3333,430.0,430.0,0.0
26.3667,430.0,430.0,0.0
26.4000,430.0,430.0,0.0
26.4333,430.0,430.0,0.0
26.4667,430.0,430.0,0.0
26.5000,430.0,430.0,0.0
26.5333,430.0,430.0,0.0
26.5667,430.0,430.0,0.0
26.6000,430.0,430.0,0.0
26.6333,430.0,430.0,0.0
26.6667,430.0,430.0,0.0
26.7000,430.0,430.0,0.0
26.7333,430.0,430.0,0.0
26.7667,430.0,430.0,0.0
26.8000,430.0,430.0,0.0
26.8333,430.0,430.0,0.0
26.8667,430.0,430.0,0.0
26.9000,430.0,430.0,0.0
